Cotton,Pests,16,Nov
Other,Other,0,Dec
Other,Pests,37,Aug
Cotton,Other,42,Sep
Other,Other,0,Sep
Cumin,Crop Planning,0,Sep
Other,Seeds,36,Oct
Cumin,Seeds,22,Oct
Cotton,Pests,28,Sep
Castor,Pests,0,Sep
Other,NGOs,0,Oct
Sorghum,Pests,0,Aug
Garlic,Crop Planning,53,Oct
Other,Government,91,Nov
Millet,Other,0,Dec
Other,Diseases,0,Sep
Other,Pests,1,Aug
Cotton,Pests,0,Sep
Cotton,Pests,0,Oct
Cotton,Pests,0,Dec
Onion,Fertilizers/Bio-organic,24,Sep
Cotton,Pests,5,Aug
Cotton,Pests,17,Aug
Castor,Diseases,0,Sep
Onion,Crop Planning,36,Nov
Cotton,Pests,0,Sep
Cotton,Seeds,52,May
Cotton,Fertilizers/Bio-organic,0,Sep
Cotton,Diseases,0,Oct
Cotton,Pests,180,Aug
Cotton,Pests,19,Sep
Cotton,Pests,16,Sep
Cotton,Diseases,44,Aug
Cotton,Pests,0,Oct
Cotton,Other,15,Sep
Cotton,Other,29,Oct
Cotton,Pests,0,Sep
Cotton,Pests,28,Sep
Cotton,Pests,10,Jan
Cotton,Fertilizers/Bio-organic,80,Oct
Castor,Irrigation,62,May
Groundnut,Fertilizers/Bio-organic,0,Sep
Other,Fertilizers/Bio-organic,17,Nov
Other,Irrigation,0,Sep
Brinjal,Diseases,5,Aug
Cotton,Other,70,Oct
Other,Other,20,Jan
Cotton,Pests,17,Oct
Wheat,Seeds,74,Nov
Wheat,Sowing,28,Oct
Cotton,Pests,15,Jul
Cotton,Pests,24,Aug
Wheat,Fertilizers/Bio-organic,44,Dec
Castor,Pests,0,Sep
Cumin,Diseases,26,Dec
Cotton,Pests,71,Sep
Cotton,Other,30,Oct
Cotton,Other,29,Sep
Onion,Fertilizers/Bio-organic,24,Aug
Cotton,Pests,66,Oct
Cotton,Other,30,Oct
Cotton,Fertilizers/Bio-organic,0,Sep
Other,Horticulture,0,Sep
,Land Preparation,201,Oct
Cotton,Pests,79,Sep
Cumin,Irrigation,22,Nov
Brinjal,Pests,0,Sep
Cotton,Seeds,17,May
Cotton,Diseases,79,Oct
Other,Other,176,Aug
Onion,Diseases,0,Sep
Cotton,Diseases,0,Sep
,Crop Planning,0,Nov
Cotton,Diseases,21,Aug
Cotton,Pests,27,Oct
Other,Pests,23,Sep
Other,Animal Husbandry,28,Oct
Cotton,Pests,0,Sep
Cotton,Pests,88,Sep
Cotton,Diseases,44,Sep
Chilli,Pests,10,Aug
Cotton,Fertilizers/Bio-organic,0,Oct
Cumin,Sowing,62,Nov
Cotton,Other,91,Jun
Cotton,Diseases,0,Sep
Other,Other,0,Oct
Groundnut,Seeds,40,May
Other,Government,91,Nov
Cotton,Soil Care,0,Aug
Cotton,Pests,0,Oct
Other,Weather,8,Jun
Cotton,Pests,3,Nov
Cotton,Pests,0,Sep
Cotton,Diseases,21,Aug
Cotton,Diseases,10,Sep
Millet,Irrigation,0,Sep
Cotton,Pests,95,Oct
Cotton,Fertilizers/Bio-organic,40,Sep
Cotton,Soil Care,0,Sep
Cotton,Pests,0,Nov
Other,Crop Planning,0,Sep
Cotton,Diseases,41,Nov
Cotton,Weed Control,9,Sep
Wheat,Seeds,19,Nov
Cotton,Pests,130,Dec
Cotton,Diseases,65,Sep
Cumin,Diseases,0,Jan
Cotton,Diseases,0,Nov
Other,Fertilizers/Bio-organic,32,Oct
Castor,Pests,71,Oct
Other,Other,39,Nov
Other,Other,67,Oct
Cotton,Pests,120,Nov
Other,Other,26,Apr
Cotton,Fertilizers/Bio-organic,38,Jul
Castor,Pests,5,Aug
Cotton,Pests,0,Sep
Other,Irrigation,0,Oct
Cotton,Pests,13,Sep
Cumin,Diseases,21,Jan
Cumin,Crop Planning,181,Oct
Cotton,Other,38,Sep
Cotton,Pests,21,Sep
Cotton,Pests,0,Sep
Cumin,Pests,14,Feb
Castor,Pests,21,Aug
Cotton,Pests,0,Sep
Cotton,Irrigation,113,Sep
Cotton,Pests,26,Sep
Groundnut,Crop Planning,30,Oct
Cotton,Diseases,0,Sep
